SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
24,新竹,144,小時風向值,WD_HR,degrees,2020/10/1,49,49,52,55,54,54,55,46,48,47,45,38,41,42,40,38,45,35,43,54,52,63,47,42
24,新竹,143,小時風速值,WS_HR,m/sec,2020/10/1,2.5,2.2,2.5,2.5,2.4,2.3,2.1,2.4,3.1,3.4,2.9,3.6,3.1,2.8,2.7,2.9,2.7,2.4,1.9,1.8,1.5,1.1,0.7,1.2
24,新竹,38,相對濕度,RH,%,2020/10/1,72,71,72,72,72,72,72,68,61,55,52,51,46,43,44,46,51,57,62,65,65,67,69,73
24,新竹,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,16,9,11,10,9,15,10,10,10,9,11,12,11,14,14,14,16,17,18,22,20,15,13,23
24,新竹,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,新竹,14,溫度,AMB_TEMP,℃,2020/10/1,23.7,23.8,23.8,23.9,23.9,23.8,24.1,24.7,26,27.2,28.2,28.5,29.3,29.9,29.9,29.6,28.7,27.5,26.4,25.7,25.5,25.3,24.9,24.5
24,新竹,6,一氧化氮,NO,ppb,2020/10/1,1.2,0.7,0.5,0.7,0.5,0.5,0.7,0.9,1,1.8,1.6,1.4,1.1,0.1,1.3,1,0.9,0.8,0.5,0.9,0.9,0.2,0.7,0.9
24,新竹,4,懸浮微粒,PM10,μg/m3,2020/10/1,21,24,28,26,28,22,26,27,29,23,34,32,32,26,29,27,31,33,34,40,35,35,31,32
24,新竹,3,臭氧,O3,ppb,2020/10/1,48,50.6,53.1,53,50.5,47.8,44.8,46.6,51.9,55.8,60.2,60.3,64.4,65.4,65.2,63.9,58.5,49.8,43.7,38.8,39.1,42.4,35.5,34.2
24,新竹,2,一氧化碳,CO,ppm,2020/10/1,0.23,0.22,0.21,0.2,0.2,0.22,0.24,0.29,0.27,0.33,0.31,0.28,0.28,0.29,0.29,0.3,0.33,0.38,0.46,0.5,0.45,0.39,0.46,0.45
24,新竹,1,二氧化硫,SO2,ppb,2020/10/1,2,2.2,2.3,2.6,2.8,3,3.4,2.9,2.5,2.4,2.5,2.4,2.7,2.7,2.7,2.6,2.7,2.9,2.7,2.6,3.5,2.4,3.1,3.4
26,苗栗,1,二氧化硫,SO2,ppb,2020/10/1,2.3,1.3,1.4,1.2,1.2,1.2,1.2,1.6,1.8,2.1,2,1.7,1.6,1.7,1.6,1.6,2.6,2.3,2.5,3.4,3.5,4.5,8.8,4.2
26,苗栗,2,一氧化碳,CO,ppm,2020/10/1,0.27,0.22,0.26,0.28,0.28,0.31,0.38,0.4,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.27,0.3,0.35,0.43,0.47,0.44,0.45,0.46,0.46
26,苗栗,3,臭氧,O3,ppb,2020/10/1,37.4,35.2,19.5,7.1,4.9,2.5,13.5,26.4,41.5,47.2,52.5,56.2,55.8,56.8,54.2,53.4,45.7,39.3,35.3,31.4,29.2,27,22.4,18.7
26,苗栗,4,懸浮微粒,PM10,μg/m3,2020/10/1,23,21,23,18,19,16,19,23,30,29,0,30,28,34,31,31,35,26,43,42,33,0,34,33
26,苗栗,6,一氧化氮,NO,ppb,2020/10/1,1.7,2.4,2.1,2.2,2.5,5,3.1,3.9,2.9,2.8,2.7,2.5,2.9,2.5,2.6,2.8,2.9,2.2,1.6,2.3,1.7,2.2,2.8,2.1
26,苗栗,14,溫度,AMB_TEMP,℃,2020/10/1,23.6,23.1,22.5,22,21.9,22,22.8,24.3,26.3,28,29,29.9,30.4,30.8,30.9,30.8,30,28.8,27.6,26.6,26.1,25.6,25.2,24.9
26,苗栗,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,苗栗,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,13,11,12,12,7,8,7,11,11,9,38,11,11,16,12,12,14,12,20,25,24,76,0,22
26,苗栗,38,相對濕度,RH,%,2020/10/1,76,76,79,83,85,84,80,76,70,62,55,51,50,49,50,51,55,57,64,68,68,70,72,75
26,苗栗,143,小時風速值,WS_HR,m/sec,2020/10/1,1.2,1.1,0.2,0.2,0.3,0.3,0.3,1.2,2.8,3.8,3.6,3.8,3.8,3.5,3.3,3,2.5,2.3,1.9,1.7,1.6,1.3,1.1,0.9
26,苗栗,144,小時風向值,WD_HR,degrees,2020/10/1,45,58,149,13,25,102,10,47,41,52,38,39,38,33,36,35,34,34,15,19,27,29,21,47
28,豐原,38,相對濕度,RH,%,2020/10/1,79,81,84,83,84,85,83,78,71,63,61,57,53,52,50,51,56,60,64,71,71,72,74,77
28,豐原,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,5,9,6,5,9,6,4,7,8,13,11,12,9,13,16,14,15,14,23,25,17,26,19,27
28,豐原,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,豐原,14,溫度,AMB_TEMP,℃,2020/10/1,23.1,22.8,22.6,22.8,22.7,22.8,23.4,24.3,26,27.5,28.5,29.3,30.2,30.5,30.8,30.7,29.4,28.2,26.8,25.6,25.5,25.6,25.5,24.6
28,豐原,6,一氧化氮,NO,ppb,2020/10/1,2.7,0.1,0.7,0.6,0.5,0.8,1.1,1.5,2.3,1.4,0.8,1,1.2,1.2,1.2,1.4,1.8,1,1.1,1.2,1.2,1.3,1,1.2
28,豐原,4,懸浮微粒,PM10,μg/m3,2020/10/1,11,14,11,11,14,14,10,10,19,21,25,28,32,24,26,21,36,32,36,40,29,34,29,44
28,豐原,3,臭氧,O3,ppb,2020/10/1,18.3,12.2,10.1,12.8,9.4,4.5,8.4,13.8,22.3,38.5,50.7,55.9,59.8,63,64,60.7,61.9,56,46.7,34.1,37,29.5,30.5,21.4
28,豐原,2,一氧化碳,CO,ppm,2020/10/1,0.17,0.23,0.22,0.18,0.19,0.21,0.2,0.21,0.25,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.26,0.27,0.35,0.47,0.34,0.39,0.36,0.49
28,豐原,1,二氧化硫,SO2,ppb,2020/10/1,1.7,1.7,1.5,1.4,1.3,1.4,1.5,1.4,1.6,1.7,1.7,1.9,1.9,1.9,2.2,2.1,2.7,2,1.8,1.8,1.8,1.8,1.9,2.3
28,豐原,144,小時風向值,WD_HR,degrees,2020/10/1,13,158,48,72,33,33,52,49,348,335,360,336,336,333,334,343,333,3,360,47,71,100,180,293
28,豐原,143,小時風速值,WS_HR,m/sec,2020/10/1,0.4,0,0.6,0.7,0.7,0.6,0.6,1,1.6,2.3,1.8,3.2,3.1,3.5,2.4,2.3,3,1.3,0.9,0.9,0.9,0.6,0.5,0.5
33,彰化,6,一氧化氮,NO,ppb,2020/10/1,0.9,0.7,0.5,0.6,0.9,0.7,2.7,5.3,4.4,1.7,0.9,1.1,0.7,1.1,1,1,0.9,0.5,0.4,0.5,0.6,0.6,0.9,1.2
33,彰化,4,懸浮微粒,PM10,μg/m3,2020/10/1,17,19,17,18,18,17,19,25,26,32,45,50,41,37,49,47,47,44,49,46,43,41,47,41
33,彰化,3,臭氧,O3,ppb,2020/10/1,27.6,29.3,23.4,12.3,11.7,19.7,17.3,20.2,32.4,48.7,60.4,65.2,68.6,66.8,68.6,69.4,63.5,55.5,48.2,42.9,36.7,31.9,25.9,23.9
33,彰化,2,一氧化碳,CO,ppm,2020/10/1,0.28,0.26,0.27,0.3,0.31,0.32,0.44,0.51,0.47,0.37,0.4,0.41,0.32,0.29,0.3,0.3,0.32,0.43,0.47,0.48,0.51,0.53,0.55,0.5
33,彰化,1,二氧化硫,SO2,ppb,2020/10/1,1.5,2.2,2.2,2.7,2.8,2.5,2.6,2.9,3,2.7,3.3,3,2.9,2.5,2.5,2.6,2.5,2.5,2.6,2.8,3.1,3,3.1,3.2
33,彰化,14,溫度,AMB_TEMP,℃,2020/10/1,24.9,24.3,24.1,24.2,24.5,24.1,24.3,25.4,27.1,28.8,30.3,31.5,31.8,32,31.9,31,29.4,28.1,27.2,26.9,26.9,26.5,26.2,25.9
33,彰化,144,小時風向值,WD_HR,degrees,2020/10/1,351,350,6,10,17,10,12,17,347,346,344,346,347,352,344,348,354,359,4,2,1,336,343,339
33,彰化,143,小時風速值,WS_HR,m/sec,2020/10/1,0.6,1.5,1.4,1.2,0.8,1.7,1.6,1.2,2,2.6,2.9,3.1,3.2,3.1,3.1,3.2,3.3,2.6,2.8,2.3,1.7,1.3,0.8,1.2
33,彰化,38,相對濕度,RH,%,2020/10/1,64,66,68,68,68,68,67,66,62,60,57,54,53,52,52,54,59,63,67,68,66,67,68,69
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,10,12,11,11,11,13,11,15,15,15,18,27,15,15,19,16,19,19,21,22,25,24,29,22
33,彰化,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,斗六,144,小時風向值,WD_HR,degrees,2020/10/1,3,153,317,352,4,17,0,13,356,314,313,321,318,338,331,330,323,325,354,330,310,340,172,99
37,斗六,143,小時風速值,WS_HR,m/sec,2020/10/1,0.6,0.1,0.8,1.1,1.1,1.2,1.2,1.1,0.4,1.1,1.4,1.6,1.4,1.3,1.2,1.7,2.4,1.9,0.9,1,1,0.2,0.5,0.4
37,斗六,38,相對濕度,RH,%,2020/10/1,73,74,74,76,76,76,77,76,73,68,64,62,62,62,60,58,60,65,67,69,71,72,74,77
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,24,24,28,17,19,15,16,22,21,24,26,25,27,26,27,30,24,25,27,25,26,25,37,38
37,斗六,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,斗六,14,溫度,AMB_TEMP,℃,2020/10/1,23.8,24.2,23.9,23.5,23.3,23.3,23.5,23.9,25.5,27.4,28.7,29.4,29.6,29.8,30.2,30.4,29.5,28,27,26.5,26.2,26,25.9,25.3
37,斗六,6,一氧化氮,NO,ppb,2020/10/1,1.2,1.6,1.9,1.1,1.2,1.5,2.9,4.9,5.6,3.6,1.9,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.6,1.1,1.3,1.6,1.2,1.2
37,斗六,4,懸浮微粒,PM10,μg/m3,2020/10/1,32,32,41,31,29,29,32,32,32,40,42,38,38,42,49,61,63,68,62,54,55,52,58,62
37,斗六,3,臭氧,O3,ppb,2020/10/1,19.2,11.8,16.2,13.5,15,14,9.7,11.3,20.7,42.5,69.2,80.7,79.6,84,88.3,88.5,77.2,60.2,56.2,54.2,48.6,43.5,32.5,26.6
37,斗六,2,一氧化碳,CO,ppm,2020/10/1,0.35,0.4,0.34,0.3,0.27,0.29,0.34,0.38,0.42,0.4,0.34,0.34,0.31,0.31,0.33,0.34,0.43,0.5,0.43,0.36,0.39,0.42,0.54,0.51
37,斗六,1,二氧化硫,SO2,ppb,2020/10/1,2.8,1.9,1.8,1.6,1.9,2.6,2.7,3,2.5,2.9,2.8,2.6,2.2,3.1,2.7,3.2,4.3,4.3,2.6,2.2,2.2,2.3,2.8,2.6
42,嘉義,144,小時風向值,WD_HR,degrees,2020/10/1,190,226,214,281,6,35,7,7,20,356,310,263,288,334,323,337,320,331,356,334,342,349,8,60
42,嘉義,143,小時風速值,WS_HR,m/sec,2020/10/1,0.6,0.9,0.6,0.8,1.4,1.4,1.5,2.3,1.3,1.2,1.1,1,0.8,1.3,0.9,1.9,2.5,2.7,1.7,1,1.7,1.2,0.6,0.7
42,嘉義,38,相對濕度,RH,%,2020/10/1,71,72,70,70,69,69,69,67,66,63,59,57,55,55,55,54,55,57,58,61,63,65,67,69
42,嘉義,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,18,20,26,20,22,26,29,21,28,30,29,28,19,24,25,25,27,25,30,46,42,53,47,84
42,嘉義,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,嘉義,14,溫度,AMB_TEMP,℃,2020/10/1,25.3,25.1,25,25,24.9,25,25.1,25.6,26.5,28.1,29.5,30.6,31,31.1,31.4,31.5,31.1,29.6,28.8,28.4,27.8,27.5,27.2,26.9
42,嘉義,6,一氧化氮,NO,ppb,2020/10/1,0.8,0.8,0.6,0.4,0.8,1.2,3.9,4.2,4.9,4,1.5,0.7,0.5,0.5,0.6,0.7,0.7,0.6,0.8,0.7,0.4,0.5,0.5,0.9
42,嘉義,4,懸浮微粒,PM10,μg/m3,2020/10/1,31,32,37,36,31,39,43,33,46,48,43,40,37,39,43,56,55,55,67,80,77,84,85,121
42,嘉義,3,臭氧,O3,ppb,2020/10/1,7.3,6.8,11.5,10.4,8.1,4.4,6.1,10.9,15.4,35.8,56.8,67.7,67.5,69.8,73.2,75.9,73.1,59.2,48.2,41.1,37.9,33,27.2,24.2
42,嘉義,2,一氧化碳,CO,ppm,2020/10/1,0.45,0.47,0.42,0.43,0.39,0.41,0.45,0.51,0.56,0.56,0.43,0.37,0.35,0.36,0.37,0.39,0.4,0.44,0.56,0.61,0.61,0.64,0.69,0.65
42,嘉義,1,二氧化硫,SO2,ppb,2020/10/1,1.9,1.4,1.5,1.6,1.6,2.9,2.2,2.8,2.9,2.9,2.9,2.8,2.2,2.4,2.6,2.9,3.1,2.3,4.4,5.3,5.3,4.3,3.9,3.8
53,楠梓,6,一氧化氮,NO,ppb,2020/10/1,2,2.3,2.1,1.9,2.3,1.9,3.1,5.5,4.1,2.9,3.3,2.4,2.4,2.3,1.9,2.1,1.8,2,1.5,1.8,1.9,1.7,2.1,2
53,楠梓,4,懸浮微粒,PM10,μg/m3,2020/10/1,47,35,37,32,30,33,43,42,35,35,42,41,31,32,29,33,34,42,42,40,42,39,37,38
53,楠梓,3,臭氧,O3,ppb,2020/10/1,10.7,12,10.3,7.3,10.2,20.6,18.6,16.4,34.6,38,54.1,66.5,68.5,71.7,73.7,78.9,79.9,89.6,94.8,61.9,61.4,57.9,33.1,29.9
