SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
70,永和,144,小時風向值,WD_HR,degrees,2020/10/1,155,163,145,149,169,162,149,100,77,75,66,71,64,70,73,73,77,73,77,91,92,86,81,75
70,永和,143,小時風速值,WS_HR,m/sec,2020/10/1,0.9,1,0.8,0.7,0.7,0.8,0.9,1,1.8,2,2.7,2.4,2.2,2.2,2.4,2.3,2.1,2.1,2.2,1.7,1.7,1.6,1.5,1.3
70,永和,38,相對濕度,RH,%,2020/10/1,81,81,81,81,82,82,79,74,63,60,56,54,53,51,54,58,61,65,68,70,72,70,68,70
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2020/10/1,16,10,9,8,7,5,14,17,15,15,13,14,17,14,14,14,13,18,16,15,16,15,10,14
70,永和,23,雨量,RAINFALL,mm,2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,永和,14,溫度,AMB_TEMP,℃,2020/10/1,21.6,21.6,21.7,21.8,21.6,21.9,22.6,24,25.2,26,26.4,26.7,27,27.7,27.5,27.1,26.5,25.7,25.3,25,24.8,24.8,25,24.8
70,永和,6,一氧化氮,NO,ppb,2020/10/1,5.5,4,3.2,5.5,3.9,10,15.4,7.9,5.1,4,3.7,5.4,4.7,3.4,3.9,4.6,3.6,3.2,2.2,1.8,1.8,1.9,2.6,1.8
70,永和,4,懸浮微粒,PM10,μg/m3,2020/10/1,29,24,20,22,23,25,23,34,32,34,34,31,32,35,33,36,34,31,33,36,30,29,33,30
70,永和,3,臭氧,O3,ppb,2020/10/1,16.3,18.1,21.3,18.9,18.2,16.1,14.5,25.5,42.9,47.4,51.2,50.8,53.9,55.2,51.3,50.2,51.5,48.6,52,50.4,49.8,45.9,45.1,43.7
70,永和,2,一氧化碳,CO,ppm,2020/10/1,0.64,0.56,0.42,0.45,0.45,0.74,0.96,0.63,0.48,0.44,0.35,0.46,0.43,0.39,0.36,0.44,0.42,0.53,0.43,0.45,0.34,0.42,0.45,0.43
70,永和,1,二氧化硫,SO2,ppb,2020/10/1,1.4,0.4,0.3,0.5,1.1,1.7,1.5,1,1.3,1.1,1.6,2,2.2,1.6,1.3,1.1,1.2,1,1.3,1.1,0.3,1,0.6,0.6
