AQI,AQI.1,AQI.2,AQI.3
17.85714286,20.56277056,26.92099567,28.81493506
20.56277056,26.92099567,28.81493506,25.7034632
26.92099567,28.81493506,25.7034632,83.62345679
28.81493506,25.7034632,83.62345679,77.35802469
25.7034632,83.62345679,77.35802469,47.00734049
83.62345679,77.35802469,47.00734049,42.07251082
77.35802469,47.00734049,42.07251082,41.80194805
47.00734049,42.07251082,41.80194805,54.56481481
42.07251082,41.80194805,54.56481481,32.60281385
41.80194805,54.56481481,32.60281385,48.7012987
54.56481481,32.60281385,48.7012987,54.7808642
32.60281385,48.7012987,54.7808642,43.83116883
48.7012987,54.7808642,43.83116883,41.66666667
54.7808642,43.83116883,41.66666667,15.01623377
43.83116883,41.66666667,15.01623377,51.54012346
41.66666667,15.01623377,51.54012346,58.5617284
15.01623377,51.54012346,58.5617284,57.91358025
51.54012346,58.5617284,57.91358025,73.93880837
58.5617284,57.91358025,73.93880837,89.56481481
57.91358025,73.93880837,89.56481481,65.04320988
73.93880837,89.56481481,65.04320988,84.27160494
89.56481481,65.04320988,84.27160494,24.08008658
65.04320988,84.27160494,24.08008658,15.28679654
84.27160494,24.08008658,15.28679654,13.83399209
24.08008658,15.28679654,13.83399209,24.08008658
15.28679654,13.83399209,24.08008658,32.1969697
13.83399209,24.08008658,32.1969697,80.6969697
24.08008658,32.1969697,80.6969697,91.07246377
32.1969697,80.6969697,91.07246377,49.6482684
80.6969697,91.07246377,49.6482684,30.97943723
91.07246377,49.6482684,30.97943723,33.31451158
49.6482684,30.97943723,33.31451158,33.68506494
30.97943723,33.31451158,33.68506494,33.14393939
33.31451158,33.68506494,33.14393939,29.22077922
33.68506494,33.14393939,29.22077922,24.48593074
33.14393939,29.22077922,24.48593074,34.9025974
29.22077922,24.48593074,34.9025974,53.26851852
24.48593074,34.9025974,53.26851852,57.04938272
34.9025974,53.26851852,57.04938272,63.20679012
53.26851852,57.04938272,63.20679012,76.70987654
57.04938272,63.20679012,76.70987654,55.21296296
63.20679012,76.70987654,55.21296296,58.60869565
76.70987654,55.21296296,58.60869565,42.88419913
55.21296296,58.60869565,42.88419913,22.18614719
58.60869565,42.88419913,22.18614719,45.18398268
42.88419913,22.18614719,45.18398268,34.44381705
22.18614719,45.18398268,34.44381705,29.35606061
45.18398268,34.44381705,29.35606061,33.00865801
34.44381705,29.35606061,33.00865801,58.23765432
29.35606061,33.00865801,58.23765432,76.49382716
33.00865801,58.23765432,76.49382716,63.79388084
58.23765432,76.49382716,63.79388084,36.66125541
76.49382716,63.79388084,36.66125541,72.38888889
63.79388084,36.66125541,72.38888889,60.18209877
36.66125541,72.38888889,60.18209877,38.66587957
72.38888889,60.18209877,38.66587957,70.12037037
60.18209877,38.66587957,70.12037037,62.2345679
38.66587957,70.12037037,62.2345679,54.45679012
70.12037037,62.2345679,54.45679012,29.22077922
62.2345679,54.45679012,29.22077922,37.26708075
54.45679012,29.22077922,37.26708075,23.26839827
29.22077922,37.26708075,23.26839827,43.42532468
37.26708075,23.26839827,43.42532468,33.82034632
23.26839827,43.42532468,33.82034632,67.41975309
43.42532468,33.82034632,67.41975309,29.22077922
33.82034632,67.41975309,29.22077922,74.33333333
67.41975309,29.22077922,74.33333333,29.50310559
29.22077922,74.33333333,29.50310559,60.39814815
74.33333333,29.50310559,60.39814815,52.40432099
29.50310559,60.39814815,52.40432099,36.84359119
60.39814815,52.40432099,36.84359119,46.80735931
52.40432099,36.84359119,46.80735931,55.32098765
36.84359119,46.80735931,55.32098765,47.754329
46.80735931,55.32098765,47.754329,68.39197531
55.32098765,47.754329,68.39197531,94.20987654
47.754329,68.39197531,94.20987654,85.35185185
68.39197531,94.20987654,85.35185185,74.72785829
94.20987654,85.35185185,74.72785829,73.14506173
85.35185185,74.72785829,73.14506173,76.49382716
74.72785829,73.14506173,76.49382716,62.77469136
73.14506173,76.49382716,62.77469136,39.77272727
76.49382716,62.77469136,39.77272727,65.48470209
62.77469136,39.77272727,65.48470209,61.72390572
39.77272727,65.48470209,61.72390572,70.55246914
65.48470209,61.72390572,70.55246914,17.31601732
61.72390572,70.55246914,17.31601732,21.91558442
70.55246914,17.31601732,21.91558442,32.60281385
17.31601732,21.91558442,32.60281385,23.57425184
21.91558442,32.60281385,23.57425184,23.29192547
32.60281385,23.57425184,23.29192547,26.6504329
23.57425184,23.29192547,26.6504329,45.45454545
23.29192547,26.6504329,45.45454545,43.29004329
26.6504329,45.45454545,43.29004329,52.2962963
45.45454545,43.29004329,52.2962963,34.22619048
43.29004329,52.2962963,34.22619048,30.3030303
52.2962963,34.22619048,30.3030303,36.25541126
34.22619048,30.3030303,36.25541126,48.0177717
30.3030303,36.25541126,48.0177717,39.80801807
36.25541126,48.0177717,39.80801807,61.91049383
48.0177717,39.80801807,61.91049383,45.18398268
39.80801807,61.91049383,45.18398268,72.69887279
61.91049383,45.18398268,72.69887279,74.33333333
45.18398268,72.69887279,74.33333333,83.08333333
72.69887279,74.33333333,83.08333333,68.07729469
74.33333333,83.08333333,68.07729469,69.25617284
83.08333333,68.07729469,69.25617284,71.41666667
68.07729469,69.25617284,71.41666667,72.92901235
69.25617284,71.41666667,72.92901235,55.25925926
71.41666667,72.92901235,55.25925926,30.16774892
72.92901235,55.25925926,30.16774892,10.01082251
55.25925926,30.16774892,10.01082251,40.17857143
30.16774892,10.01082251,40.17857143,29.78543196
10.01082251,40.17857143,29.78543196,30.84415584
40.17857143,29.78543196,30.84415584,41.53138528
29.78543196,30.84415584,41.53138528,26.6798419
30.84415584,41.53138528,26.6798419,40.71969697
41.53138528,26.6798419,40.71969697,51.86419753
26.6798419,40.71969697,51.86419753,64.50308642
40.71969697,51.86419753,64.50308642,77.57407407
51.86419753,64.50308642,77.57407407,74.7654321
64.50308642,77.57407407,74.7654321,55.42901235
77.57407407,74.7654321,55.42901235,54.02469136
74.7654321,55.42901235,54.02469136,71.84876543
55.42901235,54.02469136,71.84876543,39.36688312
54.02469136,71.84876543,39.36688312,38.69047619
71.84876543,39.36688312,38.69047619,38.39638622
39.36688312,38.69047619,38.39638622,35.44372294
38.69047619,38.39638622,35.44372294,45.58982684
38.39638622,35.44372294,45.58982684,44.46640316
35.44372294,45.58982684,44.46640316,48.02489177
45.58982684,44.46640316,48.02489177,80.92283951
44.46640316,48.02489177,80.92283951,70.76851852
48.02489177,80.92283951,70.76851852,71.00805153
80.92283951,70.76851852,71.00805153,45.31926407
70.76851852,71.00805153,45.31926407,22.32142857
71.00805153,45.31926407,22.32142857,29.78543196
45.31926407,22.32142857,29.78543196,40.71969697
22.32142857,29.78543196,40.71969697,35.8495671
29.78543196,40.71969697,35.8495671,17.78656126
40.71969697,35.8495671,17.78656126,15.96320346
35.8495671,17.78656126,15.96320346,15.28679654
17.78656126,15.96320346,15.28679654,23.26839827
15.96320346,15.28679654,23.26839827,35.44372294
15.28679654,23.26839827,35.44372294,30.43831169
23.26839827,35.44372294,30.43831169,16.23376623
35.44372294,30.43831169,16.23376623,14.31523022
30.43831169,16.23376623,14.31523022,29.07961604
16.23376623,14.31523022,29.07961604,36.39069264
14.31523022,29.07961604,36.39069264,24.21536797
29.07961604,36.39069264,24.21536797,27.05627706
36.39069264,24.21536797,27.05627706,36.84359119
24.21536797,27.05627706,36.84359119,29.50310559
27.05627706,36.84359119,29.50310559,33.54978355
36.84359119,29.50310559,33.54978355,36.7965368
29.50310559,33.54978355,36.7965368,26.24458874
33.54978355,36.7965368,26.24458874,24.48593074
36.7965368,26.24458874,24.48593074,22.18614719
26.24458874,24.48593074,22.18614719,23.0095991
24.48593074,22.18614719,23.0095991,33.54978355
22.18614719,23.0095991,33.54978355,50.05411255
23.0095991,33.54978355,50.05411255,45.72510823
33.54978355,50.05411255,45.72510823,41.26082251
50.05411255,45.72510823,41.26082251,41.12554113
45.72510823,41.26082251,41.12554113,20.56277056
41.26082251,41.12554113,20.56277056,25.83874459
41.12554113,20.56277056,25.83874459,31.92640693
20.56277056,25.83874459,31.92640693,30.43831169
25.83874459,31.92640693,30.43831169,33.45567476
31.92640693,30.43831169,33.45567476,32.06168831
30.43831169,33.45567476,32.06168831,34.86730661
33.45567476,32.06168831,34.86730661,26.10930736
32.06168831,34.86730661,26.10930736,28.93845285
34.86730661,26.10930736,28.93845285,31.65584416
26.10930736,28.93845285,31.65584416,32.46753247
28.93845285,31.65584416,32.46753247,28.54437229
31.65584416,32.46753247,28.54437229,33.14393939
32.46753247,28.54437229,33.14393939,28.40909091
28.54437229,33.14393939,28.40909091,32.74985884
33.14393939,28.40909091,32.74985884,32.02479339
28.40909091,32.74985884,32.02479339,27.73268398
32.74985884,32.02479339,27.73268398,25.43290043
32.02479339,27.73268398,25.43290043,32.87337662
27.73268398,25.43290043,32.87337662,35.44372294
25.43290043,32.87337662,35.44372294,33.17334839
32.87337662,35.44372294,33.17334839,37.87878788
35.44372294,33.17334839,37.87878788,34.09090909
33.17334839,37.87878788,34.09090909,27.5974026
37.87878788,34.09090909,27.5974026,27.05627706
34.09090909,27.5974026,27.05627706,31.65584416
27.5974026,27.05627706,31.65584416,33.14393939
27.05627706,31.65584416,33.14393939,30.3030303
31.65584416,33.14393939,30.3030303,39.5021645
33.14393939,30.3030303,39.5021645,34.16149068
30.3030303,39.5021645,34.16149068,41.66666667
39.5021645,34.16149068,41.66666667,26.37987013
34.16149068,41.66666667,26.37987013,21.50974026
41.66666667,26.37987013,21.50974026,18.93939394
26.37987013,21.50974026,18.93939394,35.8495671
21.50974026,18.93939394,35.8495671,28.40909091
18.93939394,35.8495671,28.40909091,30.70887446
35.8495671,28.40909091,30.70887446,35.17316017
28.40909091,30.70887446,35.17316017,31.8772137
30.70887446,35.17316017,31.8772137,30.43831169
35.17316017,31.8772137,30.43831169,23.80952381
31.8772137,30.43831169,23.80952381,25.16233766
30.43831169,23.80952381,25.16233766,24.70355731
23.80952381,25.16233766,24.70355731,19.82228298
25.16233766,24.70355731,19.82228298,9.259259259
24.70355731,19.82228298,9.259259259,6.764069264
19.82228298,9.259259259,6.764069264,6.222943723
9.259259259,6.764069264,6.222943723,7.407407407
6.764069264,6.222943723,7.407407407,12.31060606
6.222943723,7.407407407,12.31060606,14.25748165
7.407407407,12.31060606,14.25748165,33.68506494
12.31060606,14.25748165,33.68506494,24.48593074
14.25748165,33.68506494,24.48593074,34.09090909
33.68506494,24.48593074,34.09090909,38.41991342
24.48593074,34.09090909,38.41991342,34.22619048
34.09090909,38.41991342,34.22619048,24.89177489
38.41991342,34.22619048,24.89177489,33.83458647
34.22619048,24.89177489,33.83458647,26.24458874
24.89177489,33.83458647,26.24458874,30.03246753
33.83458647,26.24458874,30.03246753,33.54978355
26.24458874,30.03246753,33.54978355,17.18073593
30.03246753,33.54978355,17.18073593,26.92099567
33.54978355,17.18073593,26.92099567,34.36147186
17.18073593,26.92099567,34.36147186,6.764069264
26.92099567,34.36147186,6.764069264,4.74537037
34.36147186,6.764069264,4.74537037,44.1017316
6.764069264,4.74537037,44.1017316,66.55555556
4.74537037,44.1017316,66.55555556,66.55555556
44.1017316,66.55555556,66.55555556,66.55555556
66.55555556,66.55555556,66.55555556,66.55555556
66.55555556,66.55555556,66.55555556,38.23953824
66.55555556,66.55555556,38.23953824,40.04329004
66.55555556,38.23953824,40.04329004,33.82034632
38.23953824,40.04329004,33.82034632,25.56818182
40.04329004,33.82034632,25.56818182,25.7034632
33.82034632,25.56818182,25.7034632,25.02705628
25.56818182,25.7034632,25.02705628,14.745671
25.7034632,25.02705628,14.745671,31.47939018
25.02705628,14.745671,31.47939018,49.78354978
14.745671,31.47939018,49.78354978,58.02160494
31.47939018,49.78354978,58.02160494,52.83641975
49.78354978,58.02160494,52.83641975,49.78354978
58.02160494,52.83641975,49.78354978,51.32407407
