CO,PM10,PM25,SO2,AQI
4.081439394,13.65740741,17.85714286,1.148809524,17.85714286
5.56344697,16.16512346,20.56277056,0.546583851,20.56277056
8.328598485,14.27469136,26.92099567,1.273809524,26.92099567
7.163825758,15.39351852,28.81493506,1.958333333,28.81493506
4.403409091,12.11419753,25.7034632,2.077380952,25.7034632
16.20059289,42.74691358,83.62345679,2.950310559,83.62345679
14.69223485,36.57407407,77.35802469,3.702380952,77.35802469
7.91838843,28.26086957,47.00734049,1.649350649,47.00734049
7.12594697,28.89660494,42.07251082,1.976190476,42.07251082
9.895833333,26.85185185,41.80194805,3.410714286,41.80194805
10.32670455,28.125,54.56481481,2.214285714,54.56481481
6.178977273,17.97839506,32.60281385,1.970238095,32.60281385
6.306818182,27.56734007,48.7012987,3.160714286,48.7012987
8.68844697,30.16975309,54.7808642,2.113095238,54.7808642
7.684659091,21.875,43.83116883,2.369047619,43.83116883
12.32007576,25.07716049,41.66666667,2.988095238,41.66666667
8.821022727,10.91820988,15.01623377,1.75,15.01623377
6.477272727,28.93518519,51.54012346,2.767857143,51.54012346
8.773674242,27.85493827,58.5617284,0.630952381,58.5617284
9.261363636,29.97685185,57.91358025,1.922619048,57.91358025
8.445247934,33.13204509,73.93880837,1.694805195,73.93880837
18.66003788,43.20987654,89.56481481,4.958333333,89.56481481
12.88825758,30.16975309,65.04320988,6.795918367,65.04320988
8.934659091,41.78240741,84.27160494,2.529761905,84.27160494
5.582386364,11.34259259,24.08008658,2.261904762,24.08008658
4.180871212,5.941358025,15.28679654,3.136904762,15.28679654
4.640151515,9.460547504,13.83399209,1.776397516,13.83399209
4.829545455,11.30401235,24.08008658,3.125,24.08008658
7.940340909,14.62191358,32.1969697,3.422619048,32.1969697
10.22253788,27.4691358,80.6969697,2.976190476,80.6969697
7.5,35.49382716,91.07246377,0.857142857,91.07246377
5.416666667,22.91666667,49.6482684,1.18452381,49.6482684
5.918560606,16.74382716,30.97943723,2.416666667,30.97943723
8.977272727,15.13687601,33.31451158,2.757763975,33.31451158
11.00852273,14.50617284,33.68506494,2.285714286,33.68506494
6.448863636,17.28395062,33.14393939,1.327380952,33.14393939
6.798418972,14.45249597,29.22077922,2.590062112,29.22077922
9.421936759,16.89814815,24.48593074,1.51552795,24.48593074
6.581439394,20.91049383,34.9025974,1.261904762,34.9025974
4.985795455,23.49537037,53.26851852,3.047619048,53.26851852
4.891098485,29.20524691,57.04938272,1.541666667,57.04938272
13.14867424,30.5941358,63.20679012,2.470238095,63.20679012
16.95549242,36.2654321,76.70987654,2.952380952,76.70987654
11.01799242,24.8389694,55.21296296,2.851190476,55.21296296
10.85700758,25.80515298,58.60869565,2.291666667,58.60869565
11.85132576,19.4058642,42.88419913,2.416666667,42.88419913
5.426136364,10.41666667,22.18614719,5.517857143,22.18614719
5.696022727,29.9382716,45.18398268,1.818181818,45.18398268
3.873517787,21.0547504,34.44381705,1.677018634,34.44381705
6.34469697,19.25154321,29.35606061,1.833333333,29.35606061
7.689393939,17.09104938,33.00865801,2.678571429,33.00865801
11.25473485,30.32407407,58.23765432,1.642857143,58.23765432
6.761363636,34.79938272,76.49382716,1.095238095,76.49382716
4.166666667,47.22222222,63.79388084,1.372670807,63.79388084
9.176136364,18.24845679,36.66125541,1.398809524,36.66125541
13.83049242,36.14969136,72.38888889,4,72.38888889
9.21875,28.16358025,60.18209877,2.785714286,60.18209877
5.25094697,19.3236715,38.66587957,0.770186335,38.66587957
10.78598485,42.70833333,70.12037037,3.113095238,70.12037037
11.64772727,27.08333333,62.2345679,3.708333333,62.2345679
8.196022727,22.18364198,54.45679012,0.791666667,54.45679012
4.867424242,18.36419753,29.22077922,2.017857143,29.22077922
6.511857708,21.65861514,37.26708075,2.512987013,37.26708075
6.098484848,10.41666667,23.26839827,1.744047619,23.26839827
4.943181818,19.02006173,43.42532468,1.005952381,43.42532468
8.513257576,17.24537037,33.82034632,3.005952381,33.82034632
12.34375,32.29166667,67.41975309,1.589285714,67.41975309
5.487689394,14.9691358,29.22077922,1.416666667,29.22077922
10.43087121,35.87962963,74.33333333,4.05952381,74.33333333
7.020750988,13.72785829,29.50310559,1.788819876,29.50310559
5.246212121,38.34876543,60.39814815,0.744047619,60.39814815
15.66761364,23.22530864,52.40432099,3.553571429,52.40432099
13.48320158,15.82125604,36.84359119,2.478571429,36.84359119
5.866477273,24.76851852,46.80735931,2.327380952,46.80735931
4.616477273,45.40895062,55.32098765,2.148809524,55.32098765
4.767992424,36.53549383,47.754329,4.696428571,47.754329
10.20359848,42.97839506,68.39197531,2,68.39197531
14.62121212,45.87191358,94.20987654,4.976190476,94.20987654
15.18939394,33.7191358,85.35185185,3.904761905,85.35185185
9.622933884,34.66183575,74.72785829,0.976190476,74.72785829
12.41950758,39.81481481,73.14506173,3.529761905,73.14506173
9.772727273,36.76697531,76.49382716,1.279761905,76.49382716
5.677083333,36.88271605,62.77469136,3.625,62.77469136
5.099431818,28.74228395,39.77272727,1.68452381,39.77272727
12.66098485,32.48792271,65.48470209,3.952380952,65.48470209
11.59632035,27.29468599,61.72390572,3.135714286,61.72390572
10.68655303,32.5617284,70.55246914,2.047619048,70.55246914
5.847537879,8.37191358,17.31601732,2.43452381,17.31601732
3.944128788,17.28395062,21.91558442,2.720238095,21.91558442
10,16.8595679,32.60281385,3.99378882,32.60281385
9.215367965,16.26409018,23.57425184,5.207792208,23.57425184
5.975378788,15.05636071,23.29192547,0.564935065,23.29192547
4.678030303,15.66358025,26.6504329,2.273809524,26.6504329
5.236742424,27.27623457,45.45454545,2.5,45.45454545
4.711174242,24.15123457,43.29004329,2.051948052,43.29004329
3.991477273,32.36882716,52.2962963,2.761904762,52.2962963
4.980237154,24.49845679,34.22619048,2.666666667,34.22619048
6.477272727,15.27777778,30.3030303,3.029761905,30.3030303
6.368371212,24.22839506,36.25541126,3.511904762,36.25541126
6.563852814,26.62037037,48.0177717,2.387755102,48.0177717
5.350790514,22.68518519,39.80801807,2.02484472,39.80801807
10.70075758,29.01234568,61.91049383,4.279761905,61.91049383
7.765151515,24.92283951,45.18398268,1.946428571,45.18398268
8.553719008,38.08922559,72.69887279,4.986394558,72.69887279
6.146245059,38.51010101,74.33333333,1.5,74.33333333
10.7907197,40.50925926,83.08333333,2.595238095,83.08333333
9.814049587,34.01771337,68.07729469,3.480519481,68.07729469
11.81344697,35.64814815,69.25617284,3.05952381,69.25617284
9.365530303,36.45833333,71.41666667,2.422619048,71.41666667
10.72916667,31.67438272,72.92901235,2.702380952,72.92901235
7.964015152,25.54713805,55.25925926,2.535714286,55.25925926
10.81912879,16.35802469,30.16774892,2.482142857,30.16774892
4.739583333,6.172839506,10.01082251,1.80952381,10.01082251
4.441287879,15.74074074,40.17857143,1.511904762,40.17857143
4.42687747,13.647343,29.78543196,2.366459627,29.78543196
9.441287879,17.86265432,30.84415584,1.843537415,30.84415584
9.303977273,17.85714286,41.53138528,3.279761905,41.53138528
6.101778656,16.28787879,26.6798419,3.422360248,26.6798419
4.375,31.59722222,40.71969697,1.035714286,40.71969697
4.796401515,32.25308642,51.86419753,1.148809524,51.86419753
9.460227273,34.02777778,64.50308642,2.339285714,64.50308642
11.09375,38.88888889,77.57407407,2.863095238,77.57407407
10.22727273,37.03703704,74.7654321,5.142857143,74.7654321
7.760416667,24.92283951,55.42901235,3.035714286,55.42901235
11.77865613,30.13117284,54.02469136,2.726708075,54.02469136
8.778409091,34.49074074,71.84876543,1.976190476,71.84876543
8.574810606,22.83950617,39.36688312,2.845238095,39.36688312
8.598484848,18.1712963,38.69047619,3.369047619,38.69047619
9.195075758,18.92109501,38.39638622,1.681818182,38.39638622
7.064393939,17.74691358,35.44372294,3.148809524,35.44372294
6.903409091,19.56521739,45.58982684,2.136904762,45.58982684
6.614583333,16.82098765,44.46640316,2.928571429,44.46640316
6.5625,19.79166667,48.02489177,3.148809524,48.02489177
6.292613636,40.94202899,80.92283951,1.970238095,80.92283951
9.663825758,31.48148148,70.76851852,1.571428571,70.76851852
11.65513834,32.08534622,71.00805153,1.701298701,71.00805153
7.930871212,21.45061728,45.31926407,3.220238095,45.31926407
6.070075758,14.00462963,22.32142857,2.297619048,22.32142857
8.816287879,16.55092593,29.78543196,4.130952381,29.78543196
9.569128788,20.0617284,40.71969697,1.01242236,40.71969697
7.140151515,17.70833333,35.8495671,0.98757764,35.8495671
8.541666667,12.19806763,17.78656126,3.49068323,17.78656126
10.92329545,7.484567901,15.96320346,2.785714286,15.96320346
5.84280303,6.404320988,15.28679654,1.952380952,15.28679654
4.545454545,14.50617284,23.26839827,2.916666667,23.26839827
7.675189394,20.6404321,35.44372294,2.422619048,35.44372294
9.718379447,17.90123457,30.43831169,3.453416149,30.43831169
5.213068182,11.61265432,16.23376623,3.613095238,16.23376623
7.09486166,7.367149758,14.31523022,3.173913043,14.31523022
12.56422925,13.80837359,29.07961604,3.192546584,29.07961604
10.15625,19.71450617,36.39069264,2.375,36.39069264
6.306818182,14.50617284,24.21536797,2.529761905,24.21536797
9.540513834,15.16203704,27.05627706,3.055900621,27.05627706
11.26623377,19.99158249,36.84359119,1.761904762,36.84359119
7.035984848,18.59903382,29.50310559,3.701863354,29.50310559
6.81344697,20.79475309,33.54978355,2.333333333,33.54978355
7.769886364,20.91049383,36.7965368,1.517857143,36.7965368
5.9375,17.70833333,26.24458874,3.035714286,26.24458874
7.528409091,13.50308642,24.48593074,2.476190476,24.48593074
9.412878788,15.47067901,22.18614719,1.398809524,22.18614719
9.333003953,14.85507246,23.0095991,2.540372671,23.0095991
9.128787879,17.74691358,33.54978355,3.178571429,33.54978355
10.56818182,27.50771605,50.05411255,3.428571429,50.05411255
9.777462121,24.92283951,45.72510823,1.5,45.72510823
7.533143939,23.61111111,41.26082251,3.041666667,41.26082251
7.992424242,20.02314815,41.12554113,2.154761905,41.12554113
6.652462121,18.71141975,20.56277056,1.68452381,20.56277056
6.060606061,16.58950617,25.83874459,2.553571429,25.83874459
6.742424242,20.44753086,31.92640693,1.928571429,31.92640693
5.696022727,17.86265432,30.43831169,2.339285714,30.43831169
6.676136364,19.96779388,33.45567476,3.124223602,33.45567476
6.856060606,19.17438272,32.06168831,3.571428571,32.06168831
5.222537879,18.88083736,34.86730661,3.285714286,34.86730661
5.68655303,17.47685185,26.10930736,4.041666667,26.10930736
6.720041322,18.07568438,28.93845285,1.454545455,28.93845285
7.362689394,19.63734568,31.65584416,3.101190476,31.65584416
5.146780303,19.56018519,32.46753247,2.505952381,32.46753247
5.165719697,16.43518519,28.54437229,2.398809524,28.54437229
5.449810606,18.71141975,33.14393939,3.476190476,33.14393939
5.511363636,15.39351852,28.40909091,13.45238095,28.40909091
6.557765152,17.63285024,32.74985884,2.11038961,32.74985884
6.704545455,19.14983165,32.02479339,1.662337662,32.02479339
7.665719697,19.56018519,27.73268398,2.011904762,27.73268398
7.660984848,17.20679012,25.43290043,3.994047619,25.43290043
8.456439394,18.71141975,32.87337662,2.089285714,32.87337662
6.396780303,19.09722222,35.44372294,1.714285714,35.44372294
5.495867769,19.68599034,33.17334839,1.777777778,33.17334839
6.903409091,21.83641975,37.87878788,4.06547619,37.87878788
7.746212121,19.9845679,34.09090909,1.851190476,34.09090909
6.571969697,18.82716049,27.5974026,2.19047619,27.5974026
6.927083333,18.59567901,27.05627706,1.755952381,27.05627706
7.34375,19.71450617,31.65584416,3.077922078,31.65584416
6.354166667,19.05864198,33.14393939,3.886904762,33.14393939
5.833333333,17.93981481,30.3030303,1.25,30.3030303
7.571022727,21.02623457,39.5021645,3.708074534,39.5021645
6.107954545,18.11594203,34.16149068,3.928571429,34.16149068
7.09280303,20.69243156,41.66666667,1.803571429,41.66666667
6.036931818,16.89814815,26.37987013,2.44047619,26.37987013
6.051136364,14.58333333,21.50974026,3.267857143,21.50974026
5.151515152,14.69907407,18.93939394,2.547619048,18.93939394
7.007575758,19.13580247,35.8495671,3.577380952,35.8495671
7.420948617,17.28395062,28.40909091,2.633540373,28.40909091
8.304924242,17.32253086,30.70887446,1.285714286,30.70887446
7.817234848,19.56018519,35.17316017,2.821428571,35.17316017
8.321280992,18.05555556,31.8772137,4.394557823,31.8772137
8.304924242,19.17438272,30.43831169,4.56547619,30.43831169
7.206439394,15.47067901,23.80952381,0.476190476,23.80952381
6.538825758,15.00771605,25.16233766,2.761904762,25.16233766
8.229166667,16.74718196,24.70355731,3.111801242,24.70355731
7.852870813,14.27875244,19.82228298,3.781954887,19.82228298
